x,y
0.001,0.000115
0.002,0.000226
0.003,0.000332
0.004,0.000434
0.005,0.00053
0.006,0.000622
0.007,0.000709
0.008,0.000792
0.009,0.000869
0.01,0.000942
0.011,0.001011
0.012,0.001074
0.013,0.001133
0.014,0.001187
0.015,0.001237
0.016,0.001282
0.017,0.001322
0.018,0.001357
0.019,0.001388
0.02,0.001414
0.021,0.001435
0.022,0.001451
0.023,0.001463
0.024,0.00147
0.025,0.001472
0.026,0.00147
0.027,0.001463
0.028,0.001451
0.029,0.001435
0.03,0.001414
0.031,0.001388
0.032,0.001357
0.033,0.001322
0.034,0.001282
0.035,0.001237
0.036,0.001187
0.037,0.001133
0.038,0.001074
0.039,0.001011
0.04,0.000942
0.041,0.000869
0.042,0.000792
0.043,0.000709
0.044,0.000622
0.045,0.00053
0.046,0.000434
0.047,0.000332
0.048,0.000226
0.049,0.000115
0.05,0.0
